sumber,minat,bakat,nilai_akademik,kepribadian,label_karir
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Enterprising,Spasial/Visual,84.66,Dominance,Kreator Konten (Content Creator)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Conventional,Spasial/Visual,77.93,Dominance,Teknisi Otomotif / Mekanik
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Realistic,Motorik/Praktikal,85.92,Dominance,Teknisi Jaringan & IT Support
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Conventional,Numerik/Logika,80.23,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,76.27,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,91.10,Steadiness,Estimator Biaya Bangunan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Realistic,Motorik/Praktikal,84.03,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,71.99,Steadiness,Pengrajin Kayu Kreatif
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Artistic,Verbal,77.81,Dominance,Wirausahawan (Entrepreneur)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Conventional,Numerik/Logika,80.33,Steadiness,Staf Administrasi & Keuangan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Enterprising,Verbal,80.87,Steadiness,Guru / Pendidik Sekolah
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,89.87,Steadiness,Analis Data (Data Analyst)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,81.62,Dominance,Kreator Konten (Content Creator)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,71.26,Dominance,Teknisi Otomotif / Mekanik
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Motorik/Praktikal,86.61,Dominance,Teknisi Jaringan & IT Support
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Investigative,Numerik/Logika,89.57,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,90.28,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,83.03,Compliance,Estimator Biaya Bangunan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Realistic,Motorik/Praktikal,85.05,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,84.99,Steadiness,Pengrajin Kayu Kreatif
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Artistic,Verbal,76.86,Dominance,Wirausahawan (Entrepreneur)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Social,Verbal,78.31,Steadiness,Staf Administrasi & Keuangan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Enterprising,Numerik/Logika,84.49,Steadiness,Guru / Pendidik Sekolah
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,95.08,Steadiness,Analis Data (Data Analyst)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Artistic,Verbal,82.82,Influence,Kreator Konten (Content Creator)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Conventional,Motorik/Praktikal,84.45,Dominance,Teknisi Otomotif / Mekanik
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Realistic,Spasial/Visual,72.53,Dominance,Teknisi Jaringan & IT Support
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Conventional,Numerik/Logika,93.64,Compliance,Administrator Sistem (Sysadmin)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,78.41,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,85.60,Compliance,Estimator Biaya Bangunan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Realistic,Motorik/Praktikal,86.87,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,80.82,Steadiness,Pengrajin Kayu Kreatif
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Enterprising,Numerik/Logika,71.63,Influence,Wirausahawan (Entrepreneur)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Social,Numerik/Logika,85.51,Steadiness,Staf Administrasi & Keuangan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Enterprising,Numerik/Logika,84.77,Influence,Guru / Pendidik Sekolah
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Conventional,Numerik/Logika,91.13,Compliance,Analis Data (Data Analyst)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Enterprising,Spasial/Visual,82.80,Influence,Kreator Konten (Content Creator)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Conventional,Spasial/Visual,71.87,Compliance,Teknisi Otomotif / Mekanik
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Realistic,Motorik/Praktikal,87.93,Dominance,Teknisi Jaringan & IT Support
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Investigative,Numerik/Logika,93.31,Compliance,Administrator Sistem (Sysadmin)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,81.31,Dominance,Drafter (Juru Gambar Bangunan)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Investigative,Numerik/Logika,91.17,Steadiness,Estimator Biaya Bangunan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Realistic,Motorik/Praktikal,74.52,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,75.56,Compliance,Pengrajin Kayu Kreatif
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Enterprising,Numerik/Logika,87.66,Dominance,Wirausahawan (Entrepreneur)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Social,Verbal,83.57,Compliance,Staf Administrasi & Keuangan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Social,Verbal,77.38,Influence,Guru / Pendidik Sekolah
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Investigative,Numerik/Logika,95.23,Compliance,Analis Data (Data Analyst)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,73.17,Influence,Kreator Konten (Content Creator)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,75.26,Dominance,Teknisi Otomotif / Mekanik
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Realistic,Motorik/Praktikal,85.73,Dominance,Teknisi Jaringan & IT Support
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Investigative,Numerik/Logika,91.98,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,75.25,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,84.44,Compliance,Estimator Biaya Bangunan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,82.42,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,81.23,Compliance,Pengrajin Kayu Kreatif
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Enterprising,Numerik/Logika,87.02,Dominance,Wirausahawan (Entrepreneur)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Conventional,Verbal,87.01,Steadiness,Staf Administrasi & Keuangan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Social,Verbal,88.71,Influence,Guru / Pendidik Sekolah
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Numerik/Logika,94.26,Steadiness,Analis Data (Data Analyst)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Enterprising,Spasial/Visual,77.48,Influence,Kreator Konten (Content Creator)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,74.40,Dominance,Teknisi Otomotif / Mekanik
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Conventional,Spasial/Visual,79.26,Dominance,Teknisi Jaringan & IT Support
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Conventional,Numerik/Logika,92.79,Compliance,Administrator Sistem (Sysadmin)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,90.10,Dominance,Drafter (Juru Gambar Bangunan)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,87.58,Steadiness,Estimator Biaya Bangunan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Artistic,Motorik/Praktikal,79.00,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,79.68,Steadiness,Pengrajin Kayu Kreatif
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Artistic,Verbal,84.97,Dominance,Wirausahawan (Entrepreneur)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Conventional,Verbal,88.42,Compliance,Staf Administrasi & Keuangan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Enterprising,Verbal,84.80,Steadiness,Guru / Pendidik Sekolah
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Conventional,Numerik/Logika,89.60,Steadiness,Analis Data (Data Analyst)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Enterprising,Spasial/Visual,82.21,Dominance,Kreator Konten (Content Creator)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Conventional,Motorik/Praktikal,72.48,Dominance,Teknisi Otomotif / Mekanik
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Conventional,Motorik/Praktikal,77.60,Compliance,Teknisi Jaringan & IT Support
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Conventional,Numerik/Logika,88.61,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,75.49,Dominance,Drafter (Juru Gambar Bangunan)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,86.91,Steadiness,Estimator Biaya Bangunan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,75.11,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,74.40,Steadiness,Pengrajin Kayu Kreatif
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Artistic,Numerik/Logika,76.66,Dominance,Wirausahawan (Entrepreneur)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Social,Numerik/Logika,80.18,Compliance,Staf Administrasi & Keuangan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Social,Verbal,82.65,Influence,Guru / Pendidik Sekolah
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,90.38,Steadiness,Analis Data (Data Analyst)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,79.31,Dominance,Kreator Konten (Content Creator)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Conventional,Spasial/Visual,70.73,Compliance,Teknisi Otomotif / Mekanik
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Motorik/Praktikal,75.27,Compliance,Teknisi Jaringan & IT Support
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Investigative,Numerik/Logika,84.34,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,87.70,Dominance,Drafter (Juru Gambar Bangunan)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Conventional,Numerik/Logika,89.46,Steadiness,Estimator Biaya Bangunan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Artistic,Motorik/Praktikal,80.35,Influence,Desainer Mebel (Furniture Designer)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,75.82,Steadiness,Pengrajin Kayu Kreatif
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Enterprising,Numerik/Logika,80.32,Influence,Wirausahawan (Entrepreneur)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Social,Verbal,83.67,Compliance,Staf Administrasi & Keuangan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Enterprising,Verbal,88.48,Influence,Guru / Pendidik Sekolah
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Numerik/Logika,95.98,Steadiness,Analis Data (Data Analyst)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Artistic,Verbal,80.91,Dominance,Kreator Konten (Content Creator)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Conventional,Spasial/Visual,73.55,Compliance,Teknisi Otomotif / Mekanik
